word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
analysis,/əˈnæl.ə.sɪs/,分析 ,B1,Our financial experts conducted an independent analysis of the investment plan's performance.,noun,"the act of studying or examining something in detail, in order to discover or understand more about it, or your opinion and judgment after doing this:",psychoanalysis,
airport,/ˈeə.pɔːt/,飞机场,B1,an international airport,noun,"a place where aircraft regularly take off and land, with buildings for passengers to wait in:",,
box,/bɒks/,盒子,B1,a cardboard box,noun,a square or rectangular container with stiff sides and sometimes a lid:,,
apple,/ˈæp.əl/,苹果 ,B1,to peel an apple,noun,"a round fruit with firm, white flesh and a green, red, or yellow skin:",,
armed,/ɑːmd/,武装 ,B1,armed conflict,adjective,using or carrying weapons:,,
bowl,/bəʊl/,碗 ,B1,a soup/cereal/salad/sugar bowl,noun,"a round container that is open at the top and is deep enough to hold fruit, sugar, etc.:",,
actor,/ˈæk.tər/,演员 ,B1,"""Who's your favourite actor?"" ""Robert de Niro.""",noun,"someone who pretends to be someone else while performing in a film, play, or television or radio programme:","participant,thespian",
borrow,/ˈbɒr.əʊ/,借,B1,I had to borrow a pen from the invigilator to do the exam.,verb,to get or receive something from someone with the intention of giving it back after a period of time:,,
absolutely,/ˌæb.səˈluːt.li/,绝对地 ,B1,I believed/trusted him absolutely.,adverb,completely:,,
architecture,/ˈɑː.kɪ.tek.tʃər/,建筑学 ,B1,to study architecture,noun,the art and practice of designing and making buildings:,,
anyone,/ˈen.i.wʌn/,任何人 ,B1,I haven't spoken to anyone all day.,pronoun,"used in questions and negatives to mean ""a person or people"":",,
beautiful,/ˈbjuː.tɪ.fəl/,美丽的 ,B1,a beautiful woman,adjective,very attractive:,,beautiless
more,/mɔːr/,更多的,B1,Would you like some more food?,adverb,a larger or extra number or amount:,,
